,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
9491,0,1,1,2,1,2,1,0,3,0.5330112314299511,1.1055630745512093,1.6910330724019103,0.20619528501579792,0.677791409431713,simulated,simulated,simulated,5
5441,0,1,2,0,3,0,2,0,1,0.533007117842679,1.0466072863877551,1.6910330724019103,0.17133562856472628,0.5720527188525037,simulated,simulated,simulated,4
15013,0,0,1,2,3,0,0,4,3,0.532989072250186,1.0653202251362173,1.6910330724019103,0.18241965450607345,0.6996485485709663,simulated,simulated,simulated,4
4793,0,0,1,2,1,2,1,3,3,0.5329318525596569,1.10202759523369,1.6910330724019103,0.20418394231759104,0.6704342053948277,simulated,simulated,simulated,4
5254,0,1,1,1,2,3,3,1,1,0.5329029258222469,1.1340828923516522,1.6910330724019103,0.2231689129320327,0.6777311947831978,simulated,simulated,simulated,4
15842,0,1,2,1,3,1,0,0,4,0.5328892782306467,1.1210240129172067,1.6910330724019103,0.21546013353650306,0.6784354201516716,simulated,simulated,simulated,5
5304,0,0,1,1,2,2,3,1,2,0.5328764558205503,1.1061109095561639,1.6910330724019103,0.20665402531512428,0.6858422156231794,simulated,simulated,simulated,5
9133,0,1,2,2,1,3,1,0,1,0.5328601278803422,1.163620359720501,1.6910330724019103,0.2406788248239291,0.6925809326042471,simulated,simulated,simulated,4
20557,0,1,0,0,2,3,1,4,5,0.5328571747141841,1.0378894833594128,1.6910330724019103,0.16633025973000806,0.5682079790901567,simulated,simulated,simulated,4
5927,0,0,1,1,1,1,2,3,3,0.5328423667295883,1.0078810651505243,1.6910330724019103,0.1485994548708143,0.607633647068478,simulated,simulated,simulated,5
8312,0,1,2,0,3,1,0,3,1,0.5328388654724158,0.9973806127358925,1.6910330724019103,0.14239346644620482,0.5601025530456138,simulated,simulated,simulated,3
10266,0,1,2,2,3,0,2,1,2,0.5327783939740736,1.224574603167214,1.6910330724019103,0.27680612427323875,0.7549193142107826,simulated,simulated,simulated,4
6475,0,1,2,0,3,0,3,0,1,0.5327596857358008,1.0450746026411464,1.6910330724019103,0.17067670125639098,0.5658140079428893,simulated,simulated,simulated,4
10302,0,1,1,1,2,3,2,3,1,0.5327543874555096,1.1582271354848837,1.6910330724019103,0.2375952578817822,0.6701763252174713,simulated,simulated,simulated,4
10021,0,1,1,2,0,3,2,2,0,0.5327280875314129,1.1378266225683256,1.6910330724019103,0.22555762289561632,0.6723144761846381,simulated,simulated,simulated,5
11066,0,1,2,1,3,0,0,3,4,0.5327249608700708,1.1621495586968646,1.6910330724019103,0.23994422704506643,0.6999339031752592,simulated,simulated,simulated,4
3350,0,1,2,1,0,0,3,3,0,0.532701201261061,1.1229630110231643,1.6910330724019103,0.21679484574202976,0.6126109696139475,simulated,simulated,simulated,5
7122,0,0,1,0,2,2,3,3,3,0.53266474464496,0.8637081186416647,1.6910330724019103,0.06351975770971116,0.41266899764169696,simulated,simulated,simulated,5
9671,0,1,0,1,1,2,3,3,3,0.5326278159496012,1.0557032997394544,1.6910330724019103,0.17709389879387535,0.5913404532004776,simulated,simulated,simulated,5
9039,0,1,2,3,0,0,1,0,0,0.5326257219892103,1.1685126918830933,1.6910330724019103,0.2438063333056823,0.6999115504159419,simulated,simulated,simulated,4
5953,0,1,2,1,0,2,3,0,0,0.5325813512378947,1.1208282794418898,1.6910330724019103,0.21565231265979504,0.6039683887265523,simulated,simulated,simulated,5
12099,0,1,0,1,2,3,2,4,2,0.5325568867204209,1.1963617804475524,1.6910330724019103,0.26034385213777,0.6845551127115078,simulated,simulated,simulated,3
5940,0,1,0,0,2,0,3,3,2,0.532547765726004,0.9906422008626941,1.6910330724019103,0.13869977607634318,0.5158317037488227,simulated,simulated,simulated,4
12880,0,0,1,2,0,3,2,4,1,0.5325390769820695,1.0282652268698917,1.6910330724019103,0.16095701017472117,0.5900793392313566,simulated,simulated,simulated,5
721,0,1,1,2,2,2,1,1,0,0.5325262898940573,1.0867282677019237,1.6910330724019103,0.19554217895423523,0.7047934390220947,simulated,simulated,simulated,5
17100,0,0,1,1,2,2,2,3,4,0.5325023817111971,1.1145595094870644,1.6910330724019103,0.21202421692731274,0.6811484029953917,simulated,simulated,simulated,4
8719,0,1,2,0,2,3,1,2,0,0.532497119050068,1.0337428590254332,1.6910330724019103,0.16423819047613558,0.5477600268051412,simulated,simulated,simulated,4
10487,0,1,1,0,2,3,1,1,2,0.5324917735102592,0.9696820945788647,1.6910330724019103,0.12636091533154944,0.5290396503147359,simulated,simulated,simulated,6
8518,0,1,0,2,0,1,3,2,0,0.5324885332935803,1.1657444719712602,1.6910330724019103,0.24230652272731162,0.6780666519206431,simulated,simulated,simulated,4
2721,0,1,2,0,1,2,1,1,2,0.5324312094045529,0.911797965136508,1.6910330724019103,0.09219143959531517,0.4199251473211959,simulated,simulated,simulated,4
1370,0,1,1,0,2,2,2,1,1,0.5324111802848763,0.9643942804875727,1.6910330724019103,0.1233145359520848,0.5301368744137517,simulated,simulated,simulated,3
3526,0,1,0,0,1,2,3,2,1,0.5324072570040331,0.968343300689326,1.6910330724019103,0.1256537300600941,0.4753907037299081,simulated,simulated,simulated,4
4312,0,1,0,0,2,2,3,1,0,0.5323973619318247,1.0010059707019572,1.6910330724019103,0.1449788416976638,0.5642777426340242,simulated,simulated,simulated,5
5540,0,1,2,0,3,2,0,0,1,0.532361287213855,0.9612189260679602,1.6910330724019103,0.12148666892992101,0.532186864208184,simulated,simulated,simulated,5
9262,0,0,1,1,1,2,3,3,3,0.5323522569215564,1.0249508922264357,1.6910330724019103,0.15918388356266647,0.6252942690492564,simulated,simulated,simulated,3
8121,0,1,2,0,0,1,3,0,1,0.5323351237553194,0.9538644887799986,1.6910330724019103,0.11716375287724666,0.4799279253597919,simulated,simulated,simulated,4
8704,0,1,2,2,2,3,1,2,1,0.5323307061843472,1.1672282679429653,1.6910330724019103,0.24334179924656574,0.7147843344372669,simulated,simulated,simulated,5
6818,0,1,2,0,2,1,2,1,3,0.5322762393425489,1.0158960447491856,1.6910330724019103,0.15390527643029053,0.5260622105091932,simulated,simulated,simulated,4
11966,0,1,0,0,2,3,2,3,4,0.5322543891895519,1.0502047606243416,1.6910330724019103,0.17421573976009816,0.5618951480650083,simulated,simulated,simulated,4
