,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
19560,0,0,1,2,3,3,4,3,5,0.5210155610117013,1.4281729646341652,2.9217547752134396,0.12020140005302028,0.49893402657534125,simulated,simulated,simulated,5
18818,0,1,2,3,0,4,1,5,2,0.5210138432134508,1.5424485423957124,2.9217547752134396,0.1593150853343047,0.516564129565046,simulated,simulated,simulated,3
20612,0,1,1,2,3,4,5,0,0,0.5210094550220306,1.517873021567804,2.9217547752134396,0.15090825399546406,0.5213374272623253,simulated,simulated,simulated,3
11734,0,1,2,0,3,1,4,3,4,0.5209067891458936,1.4299900030238435,2.9217547752134396,0.12093207160907339,0.4077302292638695,simulated,simulated,simulated,5
12330,0,1,2,3,4,4,3,3,3,0.5208934864811323,1.5379402675388634,2.9217547752134396,0.157892439589107,0.5136758256520904,simulated,simulated,simulated,5
20240,0,1,2,1,3,4,5,1,3,0.5208871581259202,1.5606593252368524,2.9217547752134396,0.16567459426989753,0.5042639198155492,simulated,simulated,simulated,3
18490,0,1,2,3,2,3,4,0,5,0.5208813224556512,1.5805961104911623,2.9217547752134396,0.17250399549859144,0.518925795367233,simulated,simulated,simulated,3
11279,0,0,1,2,1,1,3,4,4,0.5208605242899016,1.3080753244601153,2.9217547752134396,0.07925180979075812,0.4290852297255221,simulated,simulated,simulated,4
15293,0,1,2,1,3,2,4,3,3,0.5207668983918816,1.4866933775559166,2.9217547752134396,0.14047926341829822,0.4444571021445054,simulated,simulated,simulated,5
13717,0,1,2,3,3,4,2,4,4,0.5207411994272089,1.5670634953246008,2.9217547752134396,0.16801244468453172,0.5151024500953377,simulated,simulated,simulated,5
16538,0,1,2,1,1,3,4,3,3,0.5207324797310722,1.413385049294423,2.9217547752134396,0.11542316836337732,0.41835861956476184,simulated,simulated,simulated,6
17288,0,1,2,1,1,3,4,2,2,0.5207098746328569,1.3852540504678579,2.9217547752134396,0.10581765577518956,0.4248473389658065,simulated,simulated,simulated,6
16055,0,1,2,3,1,2,4,0,0,0.5206932682494418,1.429385077274633,2.9217547752134396,0.12093855057499003,0.4081188149530651,simulated,simulated,simulated,4
18751,0,1,2,3,4,4,4,5,0,0.5206774044106661,1.6230487172653374,2.9217547752134396,0.18723774579860342,0.5192539768947453,simulated,simulated,simulated,3
20437,0,1,2,3,3,3,3,4,5,0.5206715626037544,1.5313882811557022,2.9217547752134396,0.15587188013463776,0.5144164150982884,simulated,simulated,simulated,4
11495,0,1,2,0,3,3,1,1,4,0.520619373195248,1.3554100995434741,2.9217547752134396,0.09569376441790568,0.4150538898389937,simulated,simulated,simulated,6
16008,0,1,2,0,3,4,3,4,4,0.5206054082993417,1.4650787957019062,2.9217547752134396,0.133242945167244,0.41609448973789265,simulated,simulated,simulated,5
12899,0,1,2,0,3,4,3,2,2,0.5205828032011262,1.4369477968753408,2.9217547752134396,0.12363743257905631,0.4223054548255254,simulated,simulated,simulated,5
18832,0,1,2,3,2,4,4,0,5,0.5205611808204724,1.6098457947834393,2.9217547752134396,0.18283513618831618,0.5139454556964242,simulated,simulated,simulated,2
18469,0,1,1,2,3,2,4,2,5,0.5205042335742791,1.5469911982128581,2.9217547752134396,0.1613794646809423,0.5204471850585403,simulated,simulated,simulated,4
20453,0,1,2,3,0,4,0,5,2,0.5205041195181832,1.5001909984082054,2.9217547752134396,0.14536173897797292,0.5271641755374952,simulated,simulated,simulated,3
16096,0,1,2,3,3,4,4,1,4,0.5204812097422762,1.5458238764043535,2.9217547752134396,0.16100296086661178,0.5287734107647133,simulated,simulated,simulated,6
11360,0,1,1,2,3,3,4,3,3,0.5204705797688263,1.4703076806878237,2.9217547752134396,0.13516741225000076,0.5126249971434809,simulated,simulated,simulated,3
19791,0,1,2,3,0,4,2,5,2,0.5204203858349408,1.5559112161306972,2.9217547752134396,0.16451627839590313,0.5137642760952885,simulated,simulated,simulated,4
12289,0,1,2,0,1,3,2,4,2,0.5203593501030794,1.3506306109220758,2.9217547752134396,0.09431795938995102,0.3437349908018481,simulated,simulated,simulated,4
15391,0,1,2,3,2,3,4,4,1,0.5203588033596782,1.550174981378903,2.9217547752134396,0.16261457675147933,0.5132134160596706,simulated,simulated,simulated,4
20665,0,1,0,2,3,4,5,2,6,0.5203573642205068,1.630437023027059,2.9217547752134396,0.19008650805140812,0.5297773972680182,simulated,simulated,simulated,3
16270,0,1,1,0,2,3,4,2,2,0.520338848878172,1.3591168158870515,2.9217547752134396,0.09724294973795942,0.4017113342682129,simulated,simulated,simulated,5
20898,0,1,0,0,2,3,4,5,6,0.520331401189823,1.4520663811543963,2.9217547752134396,0.12906332233563952,0.42639702921381617,simulated,simulated,simulated,4
17497,0,1,2,3,3,2,0,0,4,0.5203296054911903,1.4086474352364995,2.9217547752134396,0.11420454647424969,0.4820048601749021,simulated,simulated,simulated,5
11751,0,1,2,3,3,4,4,4,1,0.5203270450871293,1.549131811639965,2.9217547752134396,0.16228929967397504,0.5163962113114979,simulated,simulated,simulated,3
16207,0,1,2,3,1,4,0,1,2,0.5203120142579705,1.4235336258332745,2.9217547752134396,0.11931708637429857,0.4861720024082282,simulated,simulated,simulated,3
